iter	Passed	Remaining
0	20	20137
1	37	18623
2	49	16380
3	65	16323
4	78	15600
5	94	15729
6	110	15694
7	115	14307
8	126	13912
9	141	13989
10	150	13519
11	159	13098
12	187	14229
13	195	13796
14	208	13700
15	244	15041
16	251	14549
17	259	14142
18	273	14097
19	282	13834
20	288	13449
21	293	13045
22	304	12940
23	309	12568
24	316	12331
25	332	12452
26	340	12279
27	353	12263
28	357	11979
29	364	11784
30	379	11858
31	384	11637
32	389	11420
33	394	11214
34	407	11228
35	416	11163
36	431	11223
37	436	11058
38	450	11096
39	457	10983
40	464	10865
41	472	10787
42	485	10799
43	489	10636
44	494	10498
45	513	10642
46	518	10507
47	525	10416
48	529	10276
49	535	10174
50	547	10189
51	553	10092
52	568	10155
53	580	10162
54	587	10101
55	596	10050
56	604	9992
57	612	9942
58	616	9835
59	624	9778
60	635	9778
61	645	9762
62	650	9674
63	656	9596
64	660	9507
65	673	9533
66	679	9467
67	694	9515
68	699	9431
69	714	9491
70	720	9423
71	734	9461
72	739	9392
73	754	9438
74	796	9825
75	802	9759
76	816	9792
77	821	9709
78	827	9648
79	837	9635
80	844	9577
81	863	9664
82	889	9827
83	897	9791
84	905	9748
85	923	9818
86	928	9746
87	943	9782
88	948	9706
89	953	9644
90	967	9669
91	972	9602
92	1001	9766
93	1024	9876
94	1034	9858
95	1054	9933
96	1065	9920
97	1077	9913
98	1088	9906
99	1096	9868
100	1103	9826
101	1141	10052
102	1153	10049
103	1165	10039
104	1228	10468
105	1248	10526
106	1255	10479
107	1269	10487
108	1297	10609
109	1314	10635
110	1321	10585
111	1330	10551
112	1346	10569
113	1363	10593
114	1369	10539
115	1386	10567
116	1395	10529
117	1410	10542
118	1430	10588
119	1445	10601
120	1451	10545
121	1468	10567
122	1473	10505
123	1491	10533
124	1498	10487
125	1503	10428
126	1507	10365
127	1528	10413
128	1534	10362
129	1544	10339
130	1555	10317
131	1563	10278
132	1576	10276
133	1585	10246
134	1592	10202
135	1610	10228
136	1617	10188
137	1634	10209
138	1641	10166
139	1656	10174
140	1661	10120
141	1676	10130
142	1682	10084
143	1694	10070
144	1699	10023
145	1715	10032
146	1721	9987
147	1736	9998
148	1741	9947
149	1757	9957
150	1762	9912
151	1778	9923
152	1782	9867
153	1799	9885
154	1804	9838
155	1823	9864
156	1827	9813
157	1843	9824
158	1848	9776
159	1864	9786
160	1868	9738
161	1882	9736
162	1887	9691
163	1902	9698
164	1907	9651
165	1922	9659
166	1927	9613
167	1940	9611
168	1947	9574
169	1953	9538
170	1958	9494
171	1970	9486
172	1976	9446
173	1990	9451
174	1995	9409
175	1999	9361
176	2020	9395
177	2026	9356
178	2036	9340
179	2045	9316
180	2056	9305
181	2073	9318
182	2099	9371
183	2106	9340
184	2111	9302
185	2128	9313
186	2133	9275
187	2144	9260
188	2152	9236
189	2159	9206
190	2172	9201
191	2178	9166
192	2193	9171
193	2200	9140
194	2211	9127
195	2217	9096
196	2224	9068
197	2235	9054
198	2240	9018
199	2252	9010
200	2257	8973
201	2266	8954
202	2279	8948
203	2288	8928
204	2298	8914
205	2303	8879
206	2309	8847
207	2314	8812
208	2325	8802
209	2333	8779
210	2338	8744
211	2347	8724
212	2355	8702
213	2360	8668
214	2364	8634
215	2372	8612
216	2383	8601
217	2388	8569
218	2399	8557
219	2409	8544
220	2415	8514
221	2425	8499
222	2437	8491
223	2443	8466
224	2449	8435
225	2462	8432
226	2467	8401
227	2472	8372
228	2482	8358
229	2489	8334
230	2495	8306
231	2504	8289
232	2513	8274
233	2518	8245
234	2524	8216
235	2536	8211
236	2542	8184
237	2547	8155
238	2559	8151
239	2564	8120
240	2569	8091
241	2578	8076
242	2586	8057
243	2591	8028
244	2595	7999
245	2600	7970
246	2605	7942
247	2611	7919
248	2615	7890
249	2620	7860
250	2624	7832
251	2629	7803
252	2636	7785
253	2641	7758
254	2647	7734
255	2652	7708
256	2656	7680
257	2661	7655
258	2666	7628
259	2673	7610
260	2681	7593
261	2686	7567
262	2690	7540
263	2700	7529
264	2705	7504
265	2710	7479
266	2714	7453
267	2719	7427
268	2723	7402
269	2733	7390
270	2737	7364
271	2742	7340
272	2746	7312
273	2750	7289
274	2759	7273
275	2768	7262
276	2773	7239
277	2778	7216
